Target(Class),GyroX,GyroY,GyroZ,AccX,AccY,AccZ,AccMagnitude,GyroMagnitude,AccMagnitude_mean_5,GyroMagnitude_mean_5
1,3.3511450381679397,2.6946564885496183,-0.1068702290076336,0.426025390625,-0.25390625,-0.9501953125,1.0718382103392372,4.301484383787567,1.0291898420538756,4.313995051784655
1,-1.5038167938931295,3.183206106870229,-1.656488549618321,0.3837890625,-0.1416015625,-0.919677734375,1.0065546095976132,3.890786602144551,1.0331335083811468,4.312836707025313
1,1.3587786259541987,8.725190839694656,-0.9465648854961832,0.40478515625,-0.25732421875,-0.862548828125,0.9869433910693387,8.880947000511597,1.0238768311361048,5.149284633293741
1,-1.083969465648855,4.106870229007634,-0.6259541984732825,0.346923828125,-0.106201171875,-0.969970703125,1.0356051353432614,4.29338928341638,1.0355568299380757,5.190151893525543
1,0.0534351145038167,5.083969465648855,-2.221374045801527,0.276611328125,-0.257568359375,-1.00830078125,1.0768127748441536,5.548342409267167,1.035550824238721,5.382989935825452
1,-1.106870229007634,3.656488549618321,0.7786259541984732,0.158935546875,-0.111572265625,-0.971435546875,0.9906542788730492,3.8988881227735668,1.0193140379454833,5.302470683622652
1,-0.9923664122137404,3.3053435114503817,0.6946564885496184,0.17724609375,-0.100341796875,-1.002197265625,1.0226847085861626,3.5203173808424144,1.0225400577431931,5.228376839362225
1,-0.8396946564885496,3.725190839694656,0.7404580152671756,0.18115234375,-0.095458984375,-0.980224609375,1.001383480075638,3.889783024881183,1.025428075544453,4.230144044236142
1,-0.1297709923664122,4.083969465648855,0.8778625954198473,0.306396484375,-0.16064453125,-0.94677734375,1.0080043698795147,4.179269056096919,1.0199079224517036,4.207319998772251
1,-1.3587786259541987,5.564885496183206,0.1984732824427481,0.51220703125,-0.1865234375,-0.977783203125,1.1194672964906747,5.731807880924115,1.0284388267810078,4.24401309310364
1,1.282442748091603,0.4045801526717557,1.1984732824427482,0.577392578125,-0.29736328125,-0.86083984375,1.0783563172241006,1.8013002833502634,1.045979234451218,3.824495525218979
1,-0.2366412213740458,0.7328244274809159,1.4503816793893132,0.34716796875,-0.072509765625,-1.05224609375,1.1104076307595905,1.6421442461228235,1.0635238188859037,3.4488608982750604
1,-0.8473282442748091,2.030534351145038,0.6946564885496184,0.490478515625,-0.109619140625,-0.966064453125,1.0889747737540902,2.3072890026630644,1.081042077621594,3.132362093831437
1,1.770992366412214,8.526717557251908,1.946564885496183,0.455322265625,-0.253173828125,-0.851318359375,0.9980773025323698,8.923589026646457,1.079056664152165,4.081226087941344
1,-0.6106870229007634,4.450381679389314,0.816793893129771,0.157958984375,-0.0654296875,-1.016357421875,1.0306379062267823,4.5657406842742985,1.0612907860993868,3.8480126486113813
1,-0.7480916030534351,4.374045801526719,0.8091603053435115,0.15576171875,-0.082275390625,-0.987548828125,1.003136900358825,4.510727005722712,1.0462469027263315,4.389897993085872
1,-0.5877862595419847,5.366412213740458,1.8778625954198471,0.3564453125,-0.18603515625,-1.053466796875,1.1275879709726675,5.715788717400782,1.049682970768947,5.204626887341463
1,-0.3893129770992366,2.5267175572519083,0.3816793893129771,0.516845703125,-0.183349609375,-0.808349609375,0.9768191496246661,2.5848685391116604,1.0272518459430622,5.260142794631181
1,1.3206106870229009,9.213740458015268,1.83206106870229,0.6435546875,-0.2158203125,-1.069580078125,1.2667843488979098,9.486489001406214,1.08099325521617,5.372722789583134
1,-3.709923664122138,5.793893129770992,-1.419847328244275,0.3046875,-0.197998046875,-1.033203125,1.0952380548229368,7.024862819183257,1.093913284935401,5.864547216564925
1,-5.694656488549619,4.778625954198472,-0.015267175572519,0.465087890625,-0.1669921875,-0.8388671875,0.9735970906674933,7.434017192566176,1.0880053229971347,6.449205253933618
1,1.916030534351145,4.374045801526719,-0.5267175572519084,0.257568359375,-0.132568359375,-0.9482421875,0.9915034421590746,4.8042565572143285,1.060788417234416,6.266898821896328
1,2.618320610687023,8.229007633587786,-1.312977099236641,0.0791015625,-0.00537109375,-0.870361328125,0.8739649577262961,8.734762636563994,1.040217578854742,7.496877641386794
1,-0.5954198473282443,4.2824427480916025,0.8625954198473282,0.18212890625,-0.104248046875,-0.986572265625,1.0086443521229467,4.408844694885082,0.9885895794997495,6.481348780082567
1,-0.7557251908396947,4.503816793893129,0.9541984732824428,0.222412109375,-0.087158203125,-0.990234375,1.01864017994592,4.665402555346968,0.9732700045243462,6.00945672731531
1,0.4961832061068702,8.717557251908397,1.030534351145038,0.5126953125,-0.194580078125,-0.825927734375,0.9914002787332795,8.792269517207323,0.9768306421375034,6.281107192243539
1,-0.0687022900763358,2.870229007633588,1.931297709923664,0.456298828125,-0.17919921875,-0.9375,1.0579353621790222,3.4601799671808133,0.9901170261414929,6.012291874236835
1,-2.4885496183206106,6.648854961832062,1.045801526717557,0.556396484375,-0.1875,-0.981689453125,1.1438738917388234,7.17592170662468,1.0440988129439983,5.700523688248973
1,-0.2290076335877863,6.679389312977098,-0.7557251908396947,0.380615234375,-0.243408203125,-1.003173828125,1.100215087799583,6.725905638248565,1.0624129600793257,6.16393587692167
1,-0.5725190839694656,4.908396946564887,0.916030534351145,0.455078125,-0.2421875,-0.96484375,1.0939261158432174,5.025858198001649,1.077470147258785,6.236027005452607
1,1.580152671755725,0.648854961832061,-2.4656488549618323,0.291748046875,-0.375244140625,-1.12451171875,1.2208405684342452,2.999553217318445,1.123358205198978,5.077483745474831
1,1.053435114503817,7.091603053435113,1.0610687022900758,0.242431640625,0.08056640625,-0.81005859375,0.8493874095490213,7.247511724650015,1.0816486146729782,5.834950096968671
1,-0.4045801526717557,4.068702290076335,0.9770992366412212,0.15869140625,-0.087890625,-1.02099609375,1.0369863778436301,4.203896566692998,1.0602711118939394,5.2405450689823345
1,-0.4045801526717557,4.229007633587786,0.900763358778626,0.156494140625,-0.088134765625,-0.9853515625,1.0015866685828652,4.34276010083424,1.0405454280505957,4.763915961499469
1,2.50381679389313,4.496183206106871,1.4732824427480915,0.393798828125,-0.135009765625,-0.942138671875,1.0300147721703459,5.353066702028709,1.0277631593160215,4.829357662304881
1,-3.33587786259542,4.290076335877862,0.9847328244274808,0.4921875,-0.070068359375,-0.82470703125,0.9629640686624515,5.522909995402635,0.9761878593616629,5.334029017921719
1,-3.1908396946564888,3.4656488549618323,-1.3587786259541987,0.489501953125,-0.2744140625,-1.021484375,1.1654808313224565,4.902903149894331,1.0394065437163498,4.865107302970582
